,Number,Name,Position,Age,Height,Weight,Experience,College
18,15,Brandon Tate,WR,30,6-1,195,10,North Carolina
19,10,Deonte Thompson,WR,28,6-0,204,6,Florida
20,85,Charles Clay,TE,28,6-3,255,8,Tulsa
21,86,Jason Croom,TE,23,6-5,246,1,Tennessee
22,88,Khari Lee,TE,26,6-4,253,4,Bowie State Bulldogs
23,84,Nick O'Leary,TE,25,6-3,252,3,Florida State
24,82,Logan Thomas,TE,26,6-6,250,4,Virginia Tech
25,93,Keith Towbridge,TE,22,6-5,262,2,Louisville
26,70,Eric Wood,C,31,6-4,310,10,Louisville
27,62,Vladimir Ducasse,G,30,6-5,329,9,UMass
28,72,Ryan Groy,G,27,6-5,320,5,Wisconsin
29,64,Richie Incognito,G,34,6-3,319,12,Nebraska
30,76,John Miller,G,24,6-3,315,4,Louisville
31,61,Adam Redmond,G,24,6-5,300,1,Harvard
32,78,De'Ondre Wesley,G,25,6-6,331,3,BYU
33,73,Dion Dawkins,OT,23,6-4,320,2,Temple
34,77,Cordy Glenn,OT,28,6-6,345,7,Georgia
35,66,Seantrel Henderson,OT,26,6-7,331,5,Miami
36,67,Josh James,OT,24,6-5,314,1,Carroll (MT)
37,68,Conor McDermott,OT,25,6-8,305,2,UCLA
38,79,Jordan Mills,OT,27,6-5,316,6,Louisiana Tech
41,75,Cap Capi,DE,25,6-3,249,2,Akron
42,56,Ryan Davis,DE,28,6-2,260,7,Bethune-Cookman
43,55,Jerry Hughes,DE,29,6-2,254,9,TCU
44,90,Shaq Lawson,DE,23,6-3,267,3,Clemson
45,97,Marquavius Lewis,DE,25,6-3,270,1,South Carolina
46,54,Eddie Yarbrough,DE,24,6-2,259,2,Wyoming
47,91,Cedric Thornton,DT,29,6-4,290,7,Southern Arkansas
48,92,Adolphus Washington,DT,25,6-4,295,3,Ohio State
49,95,Kyle Williams,DT,34,6-1,303,13,LSU
50,94,Rickey Hatley,NT,23,6-4,320,1,Missouri
51,57,Lorenzo Alexander,LB,34,6-1,245,12,California
52,52,Preston Brown,LB,25,6-1,251,5,Louisville
53,50,Ramon Humber,LB,30,5-11,232,10,North Dakota State
54,44,Deon Lacey,LB,27,6-3,235,2,West Alabama
55,58,Matt Milano,LB,23,6-0,223,2,Boston College
56,40,Tanner Vallejo,LB,23,6-1,228,2,Boise State
57,32,Xavier Woodson-Luster,LB,22,6-1,219,2,Arkansas State
58,41,Breon Borders,CB,22,6-0,189,1,Duke
59,28,E.J. Gaines,CB,25,5-10,185,5,Missouri
60,24,Leonard Johnson,CB,27,5-10,194,7,Iowa State
61,30,Lafayette Pitts,CB,25,5-11,195,3,Pittsburgh
62,27,Tre'Davious White,CB,23,5-11,192,2,LSU
63,20,Shareece Wright,CB,30,5-11,184,8,USC
64,33,Colt Anderson,S,32,5-10,195,9,Montana
65,23,Micah Hyde,S,27,6-0,197,6,Iowa
66,22,Dean Marlowe,S,25,6-1,208,3,James Madison
67,31,Kelcie McCray,S,29,6-2,202,6,Arkansas State
68,3,L.J. McCray,S,26,6-0,210,3,Catawba
69,21,Jordan Poyer,S,26,6-0,191,6,Oregon State
70,29,Shamarko Thomas,S,26,5-9,205,6,Syracuse
73,4,Stephen Hauschka,PK,32,6-4,210,11,NC State
74,1,Cory Carter,P,23,5-11,220,1,Texas Southern
75,6,Colton Schmidt,P,27,5-11,224,5,UC Davis
76,69,Reid Ferguson,LS,23,6-1,244,2,LSU
0,6,Jay Cutler,QB,34,6-3,231,13,Vanderbilt
1,7,Brandon Doughty,QB,26,6-3,212,1,Western Kentucky
2,9,David Fales,QB,27,6-2,212,4,San Jose State
3,8,Matt Moore,QB,33,6-3,219,11,Oregon State
4,17,Ryan Tannehill,QB,29,6-4,216,7,Texas A&M
5,32,Kenyan Drake,RB,24,6-1,211,3,Alabama
6,34,Senorise Perry,RB,26,6-0,210,4,Louisville
7,40,Brandon Radcliff,RB,24,5-9,216,1,Louisville
